     113,       1,     105,    5101,  140775,  974911, 1038664,  494783,  382954,  379896,  379732,  379708,  379702,  379699,  379697,  379694,       3,       0,       0,       0
     114,       1,     103,    5175,  144956, 1006446, 1062259,  506844,  393195,  390125,  389961,  389924,  389918,  389916,  389914,  389912,       6,       0,       0,       0
     115,       1,     108,    5333,  148698, 1028934, 1095025,  520656,  403453,  400488,  400352,  400320,  400316,  400310,  400307,  400306,       2,       0,       0,       0
     116,       1,     106,    5353,  153354, 1075325, 1111677,  527126,  413867,  411087,  410938,  410905,  410898,  410894,  410889,  410889,       2,       0,       0,       0
     117,       1,     110,    5521,  157192, 1099702, 1146647,  539137,  424637,  421851,  421692,  421666,  421660,  421657,  421656,  421654,       2,       0,       0,       0
     118,       1,     108,    5564,  161309, 1130735, 1173711,  553277,  435827,  432827,  432644,  432613,  432611,  432610,  432609,  432605,       4,       0,       0,       0
     119,       1,     109,    5672,  165086, 1155305, 1209980,  566743,  446728,  443975,  443789,  443759,  443753,  443749,  443747,  443745,       4,       0,       0,       0
     120,       1,     109,    5754,  169605, 1188505, 1237883,  580417,  458009,  455278,  455114,  455090,  455086,  455078,  455073,  455074,       3,       0,       0,       0
     121,       1,     112,    5864,  174362, 1232745, 1259545,  590307,  469577,  466753,  466629,  466606,  466598,  466596,  466592,  466590,       4,       0,       0,       0
     122,       1,     113,    5977,  178391, 1264186, 1291710,  604537,  481289,  478476,  478333,  478316,  478315,  478311,  478309,  478307,       4,       0,       0,       0
     123,       1,     113,    6028,  181931, 1292461, 1327770,  619986,  493145,  490404,  490256,  490224,  490219,  490216,  490214,  490213,       4,       0,       0,       0
     124,       1,     115,    6215,  187648, 1325088, 1358680,  634982,  505485,  502537,  502360,  502331,  502324,  502323,  502321,  502318,       7,       0,       0,       0
     125,       1,     115,    6214,  190238, 1352837, 1397831,  651849,  517600,  514799,  514652,  514630,  514625,  514621,  514617,  514616,       4,       0,       0,       0
     126,       1,     115,    6347,  197258, 1416111, 1412153,  654541,  530136,  527312,  527154,  527129,  527125,  527122,  527120,  527119,       8,       0,       0,       0
